id,title,text
1540,Mariel boatlift,"The Mariel boatlift was a mass emigration of Cubans, who traveled from Cuba's Mariel Harbor to the United States between 15 April and 31 October 1980. The term ""Marielito"" (plural ""Marielitos"") is used to refer to these refugees in both Spanish and English. While the boatlift was incited by a sharp downturn in the Cuban economy, generations of Cubans had immigrated to the United States before the boatlift in search of both political freedom and economic opportunities."
1541,Israel,"After World War II, Britain found itself in intense conflict with the Jewish community over Jewish immigration limits, as well as continued conflict with the Arab community over limit levels. The Haganah joined Irgun and Lehi in an armed struggle against British rule. At the same time, hundreds of thousands of Jewish Holocaust survivors and refugees sought a new life far from their destroyed communities in Europe. The Yishuv attempted to bring these refugees to Palestine but many were turned away or rounded up and placed in detention camps in Atlit and Cyprus by the British. Escalating violence culminated with the 1946 King David Hotel bombing which Bruce Hoffman characterized as one of the ""most lethal terrorist incidents of the twentieth century"". In 1947, the British government announced it would withdraw from Mandatory Palestine, stating it was unable to arrive at a solution acceptable to both Arabs and Jews."
1542,De Baarsjes,"De Baarsjes () is a district () in Amsterdam, Netherlands. From 1990 to 2010, De Baarsjes was a borough () of Amsterdam, until it was merged into the new borough of Amsterdam-West."
1543,Laotian diaspora,"The Laotian diaspora consists of roughly 800,000 (2.5 million estimated 2018 by Seangdao Somsy LHK LLX) people, both descendants of early emigrants from Laos, as well as more recent refugees who escaped the country following its communist takeover as a result of the Laotian Civil War. The overwhelming majority of overseas Laotians live in just three countries: Thailand, the United States, and France."
1544,Refugee Act,"The United States Refugee Act of 1980 (Public Law 96-212) is an amendment to the earlier Immigration and Nationality Act and the Migration and Refugee Assistance Act, and was created to provide a permanent and systematic procedure for the admission to the United States of refugees of special humanitarian concern to the U.S., and to provide comprehensive and uniform provisions for the effective resettlement and absorption of those refugees who are admitted. The act was completed on March 3, 1980, was signed by President Jimmy Carter on March 17, 1980 and became effective on April 1, 1980. This was the first comprehensive amendment of U.S. general immigration laws designed to face up to the realities of modern refugee situations by stating a clear-cut national policy and providing a flexible mechanism to meet the rapidly shifting developments of today's world policy. The main objectives of the act were to create a new definition of refugee based on the one created at the UN Convention and Protocol on the Status of Refugees, raise the limitation from 17,400 to 50,000 refugees admitted each fiscal year, provide emergency procedures for when that number exceeds 50,000, and to establish the Office of U.S. Coordinator for Refugee Affairs and the Office of Refugee Resettlement. Most important, it established explicit procedures on how to deal with refugees in the U.S. by creating a uniform and effective resettlement and absorption policy."
1545,Phonograph record,"For collectable or nostalgia purposes, or for the benefit of higher-quality audio playback provided by the 78 rpm speed with newer vinyl records and their lightweight stylus pickups, a small number of 78 rpm records have been released since the major labels ceased production. One of the first attempts at this was in the 1950s, when inventor Ewing Dunbar Nunn founded the label Audiophile Records, which released, in addition to standard 33 1/3 rpm LPs, 78 rpm-mastered albums that were microgroove and pressed on vinyl (as opposed to traditional 78s, with their shellac composition and wider 3-mil sized grooves). This was done by the label mainly to take advantage of the wider audio frequency response that faster speeds like 78 rpm can provide for vinyl microgroove records, hence the label's name (obviously catering to the audiophiles of the 1950s ""hi-fi"" era, when stereo gear could provide a much wider range of audio than before). Also in the late 1950s, Bell Records released a few budget-priced 7"" microgrooved records at 78 rpm."
1546,Three Gut Records,"Three Gut Records was a Guelph, Ontario, Canada based independent record label. It was founded in 1999 by Lisa Moran and Tyler Clarke Burke as a vehicle for releasing albums by their friends; it became an influential player in Canadian music with the breakout success of the Constantines' self-titled 2001 release on the label. Three Gut releases were distributed by Outside Music."
1547,Sonic Youth Recordings,"Sonic Youth Recordings (sometimes referred to as SYR) is a record label established by American alternative rock band Sonic Youth in 1996. SYR was set up to allow the band to release records by themselves and their friends without the commercial pressures of a major label. As a result, the work on this label tends towards free improvisation and experimental music."
1548,Friend Like That,"""Friend Like That"" is the first single from Hawk Nelson's third album, ""Hawk Nelson Is My Friend"". It was released on Christmas Eve of 2007. This song is on the Digital Praise PC game Guitar Praise. This song was appearing by the compilation album WOW Hits 2009 and his regular versions."
1549,United Nations Population Fund,"In America, nonprofit organizations like Friends of UNFPA (formerly Americans for UNFPA) worked to compensate for the loss of United States federal funding by raising private donations."
1550,Immanu El,"Immanu El started as a musical experiment in 2004 by 16-year-old Claes Strängberg, who was soon joined by his twin brother Per and friends David Lillberg, Jonatan Josefsson. After a few concerts in Sweden, supporting such bands as Logh and Loney, Dear, Immanu El was booked to perform at Rookiefestivalen in Hultsfred, a festival hosted by Hultsfredsfestivalen (Rockparty) - the biggest Swedish music festival at the time and an opportunity for unsigned bands to perform at a major event. The band released their first demo EP titled ""Killerwhale"" in 2005, before they signed with Swedish independent record label And the Sound Records and Japanese label Thomason Sounds (Inpartmaint) in 2006."
1551,Marcia Griffiths & Friends,"Marcia Griffiths & Friends is a studio album by a Jamaican reggae female singer, Marcia Griffiths, released on October 30, 2012, under VP Records. No other female vocalist has charted hits in as wide a range of styles in the genre, and the album was released as a tribute to this great lady, Marcia Griffiths, a one of a kind of performer with a truly unique history in the music. Penthouse productions presents the album as two CD collection ""Marcia Griffiths & Friends"", with 38 duets recorded in collaboration with the label."
1552,Friend Like Me,``Friend Like Me ''is a song from the 1992 Disney film Aladdin. It was performed by Robin Williams in his role as the Genie. The song was nominated for the Academy Award for Best Original Song at the 65th Academy Awards and the Golden Globe Award for Best Original Song at the 50th Golden Globe Awards in 1993.
1553,YouTube,"In May 2014, prior to the launch of YouTube's subscription-based Music Key service, the independent music trade organization Worldwide Independent Network alleged that YouTube was using non-negotiable contracts with independent labels that were ""undervalued"" in comparison to other streaming services, and that YouTube would block all music content from labels who do not reach a deal to be included on the paid service. In a statement to the Financial Times in June 2014, Robert Kyncl confirmed that YouTube would block the content of labels who do not negotiate deals to be included in the paid service ""to ensure that all content on the platform is governed by its new contractual terms."" Stating that 90% of labels had reached deals, he went on to say that ""while we wish that we had [a] 100% success rate, we understand that is not likely an achievable goal and therefore it is our responsibility to our users and the industry to launch the enhanced music experience."" The Financial Times later reported that YouTube had reached an aggregate deal with Merlin Network—a trade group representing over 20,000 independent labels, for their inclusion in the service. However, YouTube itself has not confirmed the deal."
1554,Hawk Nelson,"Dunn's departure from the band, with Steingard replacing him on vocals marked the shift in the band's genre from fast-paced pop punk to a softer, contemporary alternative pop rock. On December 11, 2012, Hawk Nelson announced they had signed with Fair Trade Services. ""Made"" was released on April 2, 2013. The album's release was preceded by the release of the album's debut single on January 15, 2013, ""Words"", featuring Bart Millard of MercyMe, which reached No. 1 on the Christian Hot AC/CHR charts."
1555,20th Century Boy,"Although the lyrical content of a lot of Marc Bolan's songs is ambiguous, analysis of the multi track recordings of 20th Century Boy reveals the first line of the song to be ``Friends say it's fine, friends say it's good / Everybody says it's just like Robin Hood, ''and not the often misquoted``... just like rock 'n' roll.''"
1556,Book of Ways,Book of Ways is a double album of improvised music written by and performed by Keith Jarrett on clavichord which was released on the ECM label in 1987.
1557,Toyota Racing Development,"Toyota Racing Development (also known by its abbreviation TRD) is the in - house tuning shop for all Toyota, Lexus and formerly Scion cars. TRD is responsible both for improving street cars for more performance and supporting Toyota's racing interests around the world. TRD produces various tuning products and accessories, including performance suspension components, superchargers, and wheels. TRD parts are available through Toyota dealers, and are also available as accessories on brand - new Toyotas and Scions. Performance parts for Lexus vehicles are now labeled as F - Sport and performance Lexus models are labeled F to distinguish Lexus's F division from TRD."
1558,German reunification,"Horst Teltschik, Kohl's foreign policy advisor, later recalled that Germany would have paid ``100 billion deutschmarks ''if the Soviets demanded it. The USSR did not make such great demands, however, with Gorbachev stating in February 1990 that`` The Germans must decide for themselves what path they choose to follow''. In May 1990 he repeated his remark in the context of NATO membership while meeting Bush, amazing both the Americans and Germans. This removed the last significant roadblock to Germany being free to choose its international alignments, though Kohl made no secret that he intended for the reunified Germany to inherit West Germany's seats in NATO and the EC."
1559,Warsaw Pact,"The Warsaw Treaty's organization was two-fold: the Political Consultative Committee handled political matters, and the Combined Command of Pact Armed Forces controlled the assigned multi-national forces, with headquarters in Warsaw, Poland. Furthermore, the Supreme Commander of the Unified Armed Forces of the Warsaw Treaty Organization which commands and controls all the military forces of the member countries was also a First Deputy Minister of Defense of the USSR, and the Chief of Combined Staff of the Unified Armed Forces of the Warsaw Treaty Organization was also a First Deputy Chief of the General Staff of the Armed Forces of the USSR. Therefore, although ostensibly an international collective security alliance, the USSR dominated the Warsaw Treaty armed forces."
1560,Rita Marko,Rita Marko (17 February 1920 – 15 June 2018) was an Albanian political figure who served in a number of positions in Albania during its socialist period.
1561,Movement for Changes,"In the 2006 parliamentary election, the party ran for the first time, winning 11 of 81 seats. It became a vocal opposition party and forged links with the Serb People's Party and the Socialist People's Party of Montenegro in an attempt to unify the country's political opposition."
1562,Arab Islamic Republic,"The Arab Islamic Republic ( """") was a proposed unification of Tunisia and Libya in 1974, agreed upon by Libyan head of state Muammar Gaddafi and Tunisian President Habib Bourguiba. Additional countries — Morocco and Algeria — were later included in the proposal, which was never implemented."
1563,Jean Allemane,"Jean Allemane (1843, Sauveterre-de-Comminges, Haute-Garonne – 1935, Herblay in Seine-et-Oise) was a French socialist politician, veteran of the Paris Commune of 1871, pioneer of syndicalism, leader of the Socialist-Revolutionary Workers' Party (POSR) and co-founder of the unified French Section of the Workers' International (SFIO) in 1905. He was a deputy in the National Assembly of the Third French Republic."
1564,Gogo Nushi,"Gogo Nushi (February 15, 1913 – December 4, 1970) was an Albanian political figure who served in a number of positions in Albania during its socialist period."
1565,Muammar Gaddafi,"A week after the implementation of the no-fly zone, NATO announced that it would be enforced. On 30 April a NATO airstrike killed Gaddafi's sixth son and three of his grandsons in Tripoli, though Gaddafi and his wife were unharmed. Western officials remained divided over whether Gaddafi was a legitimate military target under the U.N. Security Council resolution. U.S. Secretary of Defense Robert Gates said that NATO was ""not targeting Gaddafi specifically"" but that his command-and-control facilities were legitimate targets—including a facility inside his sprawling Tripoli compound that was hit with airstrikes on 25 April."
1566,Hero of Socialist Labour (Albania),"Hero of Socialist Labour () was an honorary title in Albania and other Warsaw Pact countries. It was the highest degree of distinction for exceptional achievements in national economy and culture. It provided a similar status to the title People's Hero of Albania that was awarded for heroic deeds, but unlike the latter, was awarded to citizens who contributed to the development of Albania's industry, agriculture, transportation, trade, science and technology and promoted the might and the glory of Albania."
1567,Muammar Gaddafi,"Libya's economy witnessed increasing privatization; although rejecting the socialist policies of nationalized industry advocated in The Green Book, government figures asserted that they were forging ""people's socialism"" rather than capitalism. Gaddafi welcomed these reforms, calling for wide-scale privatization in a March 2003 speech. In 2003, the oil industry was largely sold to private corporations, and by 2004, there was $40 billion of direct foreign investment in Libya, a sixfold rise over 2003. Sectors of Libya's population reacted against these reforms with public demonstrations, and in March 2006, revolutionary hard-liners took control of the GPC cabinet; although scaling back the pace of the changes, they did not halt them. In 2010, plans were announced that would have seen half the Libyan economy privatized over the following decade. While there was no accompanying political liberalization, with Gaddafi retaining predominant control, in March 2010, the government devolved further powers to the municipal councils. Rising numbers of reformist technocrats attained positions in the country's governance; best known was Gaddafi's son and heir apparent Saif al-Islam Gaddafi, who was openly critical of Libya's human rights record. He led a group who proposed the drafting of the new constitution, although it was never adopted, and in October 2009 was appointed to head the PSLC. Involved in encouraging tourism, Saif founded several privately run media channels in 2008, but after criticising the government they were nationalised in 2009. In October 2010, Gaddafi apologized to African leaders on behalf of Arab nations for their involvement in the African slave trade."
1568,Vangjush Dako,"Vangjush Dako is the current mayor of the city of Durrës, Albania. He was elected to the post following the February 2007 local elections. He is a member of the Socialist Party of Albania."
1569,United States Army,"The army is led by a civilian Secretary of the Army, who has the statutory authority to conduct all the affairs of the army under the authority, direction and control of the Secretary of Defense. The Chief of Staff of the Army, who is the highest-ranked military officer in the army, serves as the principal military adviser and executive agent for the Secretary of the Army, i.e., its service chief; and as a member of the Joint Chiefs of Staff, a body composed of the service chiefs from each of the four military services belonging to the Department of Defense who advise the President of the United States, the Secretary of Defense, and the National Security Council on operational military matters, under the guidance of the Chairman and Vice Chairman of the Joint Chiefs of Staff. In 1986, the Goldwater–Nichols Act mandated that operational control of the services follows a chain of command from the President to the Secretary of Defense directly to the unified combatant commanders, who have control of all armed forces units in their geographic or function area of responsibility. Thus, the secretaries of the military departments (and their respective service chiefs underneath them) only have the responsibility to organize, train and equip their service components. The army provides trained forces to the combatant commanders for use as directed by the Secretary of Defense."
1570,Modern history,"In 1912, the Republic of China was established and Sun Yat-sen was inaugurated in Nanjing as the first Provisional President. But power in Beijing already had passed to Yuan Shikai, who had effective control of the Beiyang Army, the most powerful military force in China at the time. To prevent civil war and possible foreign intervention from undermining the infant republic, leaders agreed to Army's demand that China be united under a Beijing government. On March 10, in Beijing, Shikai was sworn in as the second Provisional President of the Republic of China."
1571,Myanmar,"In 1988, unrest over economic mismanagement and political oppression by the government led to widespread pro-democracy demonstrations throughout the country known as the 8888 Uprising. Security forces killed thousands of demonstrators, and General Saw Maung staged a coup d'état and formed the State Law and Order Restoration Council (SLORC). In 1989, SLORC declared martial law after widespread protests. The military government finalised plans for People's Assembly elections on 31 May 1989. SLORC changed the country's official English name from the ""Socialist Republic of the Union of Burma"" to the ""Union of Myanmar"" in 1989."
1572,Military history of the United States,"As a result of the Libyan Civil War, the United Nations enacted United Nations Security Council Resolution 1973, which imposed a no-fly zone over Libya, and the protection of civilians from the forces of Muammar Gaddafi. The United States, along with Britain, France and several other nations, committed a coalition force against Gaddafi's forces. On 19 March, the first U.S. action was taken when 114 Tomahawk missiles launched by US and UK warships destroyed shoreline air defenses of the Gaddafi regime. The U.S. continued to play a major role in Operation Unified Protector, the NATO-directed mission that eventually incorporated all of the military coalition's actions in the theater. Throughout the conflict however, the U.S. maintained it was playing a supporting role only and was following the UN mandate to protect civilians, while the real conflict was between Gaddafi's loyalists and Libyan rebels fighting to depose him. During the conflict, American drones were also deployed."
1573,Political party,"During the 19th and 20th century, many national political parties organized themselves into international organizations along similar policy lines. Notable examples are The Universal Party, International Workingmen's Association (also called the First International), the Socialist International (also called the Second International), the Communist International (also called the Third International), and the Fourth International, as organizations of working class parties, or the Liberal International (yellow), Hizb ut-Tahrir, Christian Democratic International and the International Democrat Union (blue). Organized in Italy in 1945, the International Communist Party, since 1974 headquartered in Florence has sections in six countries.[citation needed] Worldwide green parties have recently established the Global Greens. The Universal Party, The Socialist International, the Liberal International, and the International Democrat Union are all based in London. Some administrations (e.g. Hong Kong) outlaw formal linkages between local and foreign political organizations, effectively outlawing international political parties."
1574,Muammar Gaddafi,"The son of an impoverished Bedouin goat herder, Gaddafi became involved in politics while at school in Sabha, subsequently enrolling in the Royal Military Academy, Benghazi. Founding a revolutionary cell within the military, in 1969 they seized power from the absolute monarchy of King Idris in a bloodless coup. Becoming Chairman of the governing Revolutionary Command Council (RCC), Gaddafi abolished the monarchy and proclaimed the Republic. Ruling by decree, he implemented measures to remove what he viewed as foreign imperialist influence from Libya, and strengthened ties to Arab nationalist governments. Intent on pushing Libya towards ""Islamic socialism"", he introduced sharia as the basis for the legal system and nationalized the oil industry, using the increased revenues to bolster the military, implement social programs and fund revolutionary militants across the world. In 1973 he initiated a ""Popular Revolution"" with the formation of General People's Committees (GPCs), purported to be a system of direct democracy, but retained personal control over major decisions. He outlined his Third International Theory that year, publishing these ideas in The Green Book."
1575,Ndriçim Babasi,Ndriçim Babasi was a member of the Assembly of the Republic of Albania for the Democratic Party of Albania. He joined the assembly following local elections in 2011.
1576,Myanmar,"The dynasty regrouped and defeated the Portuguese in 1613 and Siam in 1614. It restored a smaller, more manageable kingdom, encompassing Lower Myanmar, Upper Myanmar, Shan states, Lan Na and upper Tenasserim. The Restored Toungoo kings created a legal and political framework whose basic features would continue well into the 19th century. The crown completely replaced the hereditary chieftainships with appointed governorships in the entire Irrawaddy valley, and greatly reduced the hereditary rights of Shan chiefs. Its trade and secular administrative reforms built a prosperous economy for more than 80 years. From the 1720s onward, the kingdom was beset with repeated Meithei raids into Upper Myanmar and a nagging rebellion in Lan Na. In 1740, the Mon of Lower Myanmar founded the Restored Hanthawaddy Kingdom. Hanthawaddy forces sacked Ava in 1752, ending the 266-year-old Toungoo Dynasty."
1577,Ottoman Empire,"Economic and political migrations made an impact across the empire. For example, the Russian and Austria-Habsburg annexation of the Crimean and Balkan regions respectively saw large influxes of Muslim refugees – 200,000 Crimean Tartars fleeing to Dobruja. Between 1783 and 1913, approximately 5–7 million refugees flooded into the Ottoman Empire, at least 3.8 million of whom were from Russia. Some migrations left indelible marks such as political tension between parts of the empire (e.g. Turkey and Bulgaria) whereas centrifugal effects were noticed in other territories, simpler demographics emerging from diverse populations. Economies were also impacted with the loss of artisans, merchants, manufacturers and agriculturists. Since the 19th century, a large proportion of Muslim peoples from the Balkans emigrated to present-day Turkey. These people are called Muhacir. By the time the Ottoman Empire came to an end in 1922, half of the urban population of Turkey was descended from Muslim refugees from Russia."
1578,Communications in Somalia,"There are a number of radio news agencies based in Somalia. Established during the colonial period, Radio Mogadishu initially broadcast news items in both Somali and Italian. The station was modernized with Russian assistance following independence in 1960, and began offering home service in Somali, Amharic and Oromo. After closing down operations in the early 1990s due to the civil war, the station was officially re-opened in the early 2000s by the Transitional National Government. In the late 2000s, Radio Mogadishu also launched a complementary website of the same name, with news items in Somali, Arabic and English."
1579,"May Creek, British Columbia","May Creek is a creek located in the Boundary Country of British Columbia. The creek is a tributary of July Creek. May Creek flows into July Creek about five miles west of Grand Forks, British Columbia. The creek has been mined for gold."
1580,Plymouth,"Plymouth lies between the River Plym to the east and the River Tamar to the west; both rivers flow into the natural harbour of Plymouth Sound. Since 1967, the unitary authority of Plymouth has included the, once independent, towns of Plympton and Plymstock which lie along the east of the River Plym. The River Tamar forms the county boundary between Devon and Cornwall and its estuary forms the Hamoaze on which is sited Devonport Dockyard."
1581,Somalis,"Somalis (Somali: Soomaali, Arabic: صومال‎) are an ethnic group inhabiting the Horn of Africa (Somali Peninsula). The overwhelming majority of Somalis speak the Somali language, which is part of the Cushitic branch of the Afro-Asiatic family. They are predominantly Sunni Muslim. Ethnic Somalis number around 16-20 million and are principally concentrated in Somalia (around 12.3 million), Ethiopia (4.6 million), Kenya (2.4 million), and Djibouti (464,600), with many also residing in parts of the Middle East, North America and Europe."
1582,Jolly Jack's Lost Mine,Jolly Jack's Lost Mine is a legend about a hidden placer mine supposed to be located in the Boundary Country of British Columbia. The mine has been written about by local historians and various magazines. Many have searched for the lost placer mine of Jolly Jack. It is a local legend in the Boundary Country.
1583,Thailand,"Thailand (/ ˈtaɪlænd / TY - land), officially the Kingdom of Thailand and formerly known as Siam (until 1939 and again from 1946 to 1948), is a country at the centre of the Indochinese peninsula in Southeast Asia. It is bordered to the north by Myanmar and Laos, to the east by Laos and Cambodia, to the south by the Gulf of Thailand and Malaysia, and to the west by the Andaman Sea and the southern extremity of Myanmar. Its maritime boundaries include Vietnam in the Gulf of Thailand to the southeast, and Indonesia and India on the Andaman Sea to the southwest. The capital and largest city is Bangkok. With around 69 million people, Thailand is the 20th-most - populous country in the world."
1584,Somalis,"The Somali flag is an ethnic flag conceived to represent ethnic Somalis. It was created in 1954 by the Somali scholar Mohammed Awale Liban, after he had been selected by the labour trade union of the Trust Territory of Somalia to come up with a design. Upon independence in 1960, the flag was adopted as the national flag of the nascent Somali Republic. The five-pointed Star of Unity in the flag's center represents the Somali ethnic group inhabiting the five territories in Greater Somalia."
1585,Nahe mine,The Nahe mine is a large potash mine located in southern Laos in Khammouane Province. Nahe represents one of the largest potash reserves in Laos having estimated reserves of 226 million tonnes of ore grading 17.5% potassium chloride.
1586,Somalis,"The history of Islam in Somalia is as old as the religion itself. The early persecuted Muslims fled to various places in the region, including the city of Zeila in modern-day northern Somalia, so as to seek protection from the Quraysh. Somalis were among the first populations on the continent to embrace Islam. With very few exceptions, Somalis are entirely Muslims, the majority belonging to the Sunni branch of Islam and the Shafi`i school of Islamic jurisprudence, although a few are also adherents of the Shia Muslim denomination."
1587,Ottoman Empire,"The discovery of new maritime trade routes by Western European states allowed them to avoid the Ottoman trade monopoly. The Portuguese discovery of the Cape of Good Hope in 1488 initiated a series of Ottoman-Portuguese naval wars in the Indian Ocean throughout the 16th century. The Somali Muslim Ajuran Empire, allied with the Ottomans, defied the Portuguese economic monopoly in the Indian Ocean by employing a new coinage which followed the Ottoman pattern, thus proclaiming an attitude of economic independence in regard to the Portuguese."
1588,Portugal,"The land within the borders of current Portugal has been continuously settled and fought over since prehistoric times. The Celts and the Romans were followed by the Visigothic and the Suebi Germanic peoples, who were themselves later invaded by the Moors. These Muslim peoples were eventually expelled during the Christian Reconquista of the peninsula. By 1139, Portugal had established itself as a kingdom independent from León. In the 15th and 16th centuries, as the result of pioneering the Age of Discovery, Portugal expanded Western influence and established the first global empire, becoming one of the world's major economic, political and military powers."
1589,Thailand,"Thailand (/ ˈtaɪlænd / TY - land), officially the Kingdom of Thailand and formerly known as Siam, is a country at the center of the Southeast Asian Indochinese peninsula composed of 76 provinces. At 513,120 km (198,120 sq mi) and over 68 million people, Thailand is the world's 50th largest country by total area and the 21st-most - populous country. The capital and largest city is Bangkok, a special administrative area. Thailand is bordered to the north by Myanmar and Laos, to the east by Laos and Cambodia, to the south by the Gulf of Thailand and Malaysia, and to the west by the Andaman Sea and the southern extremity of Myanmar. Its maritime boundaries include Vietnam in the Gulf of Thailand to the southeast, and Indonesia and India on the Andaman Sea to the southwest. Although nominally a constitutional monarchy and parliamentary democracy, the most recent coup in 2014 established a de facto military dictatorship."
1590,Somalis,"Somali people in the Horn of Africa are divided among different countries (Somalia, Djibouti, Ethiopia, and northeastern Kenya) that were artificially and some might say arbitrarily partitioned by the former imperial powers. Pan-Somalism is an ideology that advocates the unification of all ethnic Somalis once part of Somali empires such as the Ajuran Empire, the Adal Sultanate, the Gobroon Dynasty and the Dervish State under one flag and one nation. The Siad Barre regime actively promoted Pan-Somalism, which eventually led to the Ogaden War between Somalia on one side, and Ethiopia, Cuba and the Soviet Union on the other."
1591,Somalis,"Following World War II, Britain retained control of both British Somaliland and Italian Somaliland as protectorates. In 1945, during the Potsdam Conference, the United Nations granted Italy trusteeship of Italian Somaliland, but only under close supervision and on the condition — first proposed by the Somali Youth League (SYL) and other nascent Somali political organizations, such as Hizbia Digil Mirifle Somali (HDMS) and the Somali National League (SNL) — that Somalia achieve independence within ten years. British Somaliland remained a protectorate of Britain until 1960."
1592,Patani United Liberation Organisation,"The Patani United Liberation Organisation (Malay: Pertubuhan Pembebasan Bersatu Patani; abbreviated PULO) is a separatist insurgent group in Thailand, calling for an independent Patani. The PULO, along with others, is currently fighting for the independence of Thailand's predominantly Malay Muslim south."
1593,Chittoor Mohammed Habeebullah,"Chittoor Mohammed Habeebullah was an Indian gastroenterologist, known for his contributions to the medical discipline of gastroenterology in India. Born in 1937 in the South Indian state of Andhra Pradesh, Habeebullah graduated in medicine (MBBS) from the Guntur Medical College in 1958, after which he secured his master's degree in general medicine (MD) from Andhra University and DM from the Post Graduate Institute of Medical Education and Research, Chandigarh. He started his career as an assistant professor at the Department of Gastroenterology, Osmania Medical College and served as the professor and the Head of the Department from 1975 to 1992 and thereafter as the principal till 1994. He also served as the Director, Centre for Liver Research and Diagnostics, Deccan College of Medical Sciences, Hyderabad and as the Director of Medical Education, Government of Andhra Pradesh. He was a 1997 Fellow of The National Academy of Sciences, India and had many scientific publications to his credit. A recipient of the Khwarizmi International Award in 1997, Habeebullah was honored by the Government of India, in 2001, with the fourth highest Indian civilian award of Padma Shri. He died on 10 July 2010, falling to a cardiac arrest."
1594,Governor-General of India,"Upon independence in August 1947, the title of Viceroy was abolished. The representative of the British Sovereign became known once again as the Governor - General. C. Rajagopalachari became the only Indian Governor - General. However, once India acquired independence, the Governor - General's role became almost entirely ceremonial, with power being exercised on a day - to - day basis by the Indian cabinet. After the nation became a republic in 1950, the President of India continued to perform the same functions."
1595,K. Shivaram Karanth,"Kota Shivaram Karanth (10 October 1902 – 9 December 1997) was an Indian polymath, who was a novelist in Kannada language, playwright and conservationist. Ramachandra Guha called him the ""Rabindranath Tagore of Modern India, who has been one of the finest novelists-activists since independence"". He was the third writer to be decorated with the Jnanpith Award for Kannada, the highest literary honor conferred in India. His son Ullas is a conservationist."
1596,Arthur Chung,"Arthur Chung (January 10, 1918 -- June 23, 2008) was the first President of Guyana from 1970 to 1980. During his time as President of Guyana, the office was that of a ceremonial head of state, with real power in the hands of Prime Minister Forbes Burnham. He was honoured with Guyana's highest national honour, the Order of Excellence (O.E.)."
1597,Noboru Karashima,"Professor Karashima played a critical role in developing Indo-Japan cultural ties and was conferred the Padma Shri award in 2013, one of India's highest civilian award, for his contribution in the field of literature and education. In a rare gesture the Indian Prime Minister Dr. Manmohan Singh handed over the award personally to Professor Karashima in Tokyo. He died of leukemia in November, 2015."
1598,M. G. Venkata Raghavan,"Mysore Govinda Rao Venkata Raghavan (born 14 May 1956) is an Indian Carnatic vocalist, playback singer, composer and actor. He was awarded the Rajyotsava Prashasthi, the highhest civilian honour of the state of Karnataka, for his contribution towards Carnatic music."
1599,A. P. J. Abdul Kalam,"Avul Pakir Jainulabdeen Abdul Kalam ( (listen); 15 October 1931 – 27 July 2015) was an aerospace scientist who served as the 11th President of India from 2002 to 2007. He was born and raised in Rameswaram, Tamil Nadu and studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974.Kalam was elected as the 11th President of India in 2002 with the support of both the ruling Bharatiya Janata Party and the then-opposition Indian National Congress. Widely referred to as the ""People's President"", he returned to his civilian life of education, writing and public service after a single term. He was a recipient of several prestigious awards, including the Bharat Ratna, India's highest civilian honour."
1600,Lata Mangeshkar,"Lata Mangeshkar (pronunciation (help info)) (born 28 September 1929) is an Indian playback singer and occasional music composer. She is one of the best - known and most respected playback singers in India. Mangeshkar's career started in 1942 and has spanned over seven decades. She has recorded songs for over a thousand Hindi films and has sung songs in over thirty - six regional Indian languages and foreign languages, though primarily in Marathi and Hindi. She is the recipient of three National Film Awards, 12 Bengal Film Journalists' Association Awards, four Filmfare Best Female Playback Awards and many more. The Dadasaheb Phalke Award was bestowed on her in 1989 by the Government of India. She is also the second vocalist, after M.S. Subbulakshmi, to have ever been awarded the Bharat Ratna in 2001, India's highest civilian honour. She has four siblings -- Asha Bhosle, Hridaynath Mangeshkar, Usha Mangeshkar and Meena Mangeshkar -- of which she is the eldest."
1601,John H. Ferrell,"John H. Ferrell (April 15, 1829 – April 17, 1900) was a civilian employee of the Union Navy during the American Civil War and a recipient of the United States military's highest decoration, the Medal of Honor. He is one of only eight civilians ever to receive the U.S. Medal of Honor."
1602,M. Visvesvaraya,"Sir Mokshagundam Viswesvarayya  FASc also spelled as Sir Mokshagondam Visweswarayya, popularly known as Sir MV (15 September 1861 – 12 April 1962) was an  Indian chief civil engineer, scholar, statesman, politician  and the 19th Diwan of Mysore, who served from 1912 to 1919. He received India's highest honour, the Bharat Ratna, in 1955. He was knighted as a Knight Commander of the British Indian Empire (KCIE) by King George V for his contributions to the public good. 15 September is celebrated as Engineer's Day in India, Sri Lanka and Tanzania in his memory. He is held in high regard as a pre-eminent Engineer of India."
1603,Lokesh Kumar Singhal,"Lokesh Kumar Singhal is an Indian metallurgical engineer known for his expertise in steel making and for the innovations he brought into the steelmaking industry in India. He was honored by the Government of India in 2012 with the fourth highest Indian civilian award, the Padma Shri."
